metric_id,source,analysis_objective,metric,value,unit,period,scope,plain
M-01,Signavio Process Intelligence (standard O2C metric),Profitability,Total number of sales orders,15640,orders,2025-09-01 to 2026-08-31,"Sales org 1000, all customer groups","About 300 orders a week, matches what sales said"
M-02,Signavio Process Intelligence (standard O2C metric),Automation,Automation rate: sales order creation,71.4,%,2025-09-01 to 2026-08-31,"Sales org 1000","EDI (chains), portal (distributors) and marketplace feed create orders without a person"
M-03,Signavio Process Intelligence (standard O2C metric),Changes,Price change rate,4.9,% of sales orders,2025-09-01 to 2026-08-31,"Sales org 1000","766 orders had a price changed after creation; almost all are manual discounts (RA01)"
M-04,Signavio Process Intelligence (standard O2C metric),Changes,Manual SO item changes rate,11.2,% of sales orders,2025-09-01 to 2026-08-31,"Sales org 1000","Order desk edits after creation: mostly quantity and requested delivery date, some price"
M-05,Signavio Process Intelligence (standard O2C metric),Compliance,No-Touch-Order rate,57.8,%,2025-09-01 to 2026-08-31,"Sales org 1000","Orders delivered on time, right quantity, no changes"
M-06,Signavio Process Intelligence (standard O2C metric),Customer Satisfaction,Return rate,1.1,% of cases,2025-09-01 to 2026-08-31,"Sales org 1000",""
M-07,Signavio Process Intelligence (standard O2C metric),Predictability,Late payment rate,9.4,% of invoices,2025-09-01 to 2026-08-31,"Sales org 1000","Chains short-pay and dispute; see M-12"
M-08,Signavio Process Intelligence (consultant-defined drill-down),Changes,Sales orders with manual discount RA01 > 0%,766,orders,2025-09-01 to 2026-08-31,"Sales org 1000","Roughly 15 a week, as sales estimated"
M-09,Signavio Process Intelligence (consultant-defined drill-down),Changes,Sales orders with manual discount RA01 between 10% and 15%,412,orders,2025-09-01 to 2026-08-31,"Sales org 1000; net value USD 1.93M","Sales manager believes these all came to her. Approval block Z1 was set on 0 of them (see M-10)"
M-10,Signavio Process Intelligence (consultant-defined drill-down),Compliance,Sales orders with approval block Z1 set,131,orders,2025-09-01 to 2026-08-31,"Sales org 1000","All 131 had RA01 > 15%. Matches the 15% trigger in the system, not the 10% rule sales describes. 2 to 3 a week, as she said"
M-11,Signavio Process Intelligence (consultant-defined drill-down),Changes,Order lines with both promotion (K005) and volume (K029) discount applied,1340,order lines,2025-09-01 to 2026-08-31,"Customer groups 01 Chains; combined discount avg 15.8%; net value USD 4.1M","Stacking that sales says never happens"
M-12,Signavio Process Intelligence (consultant-defined drill-down),Predictability,Short-pays referencing a promotion price,58,disputes,2025-09-01 to 2026-08-31,"Chains","Most cite a promo price on lines where the promo had expired or was not stacked as the buyer expected"
M-13,Signavio Process Intelligence (consultant-defined drill-down),Changes,Order lines with free goods (NA00) quantity added by the system,2210,order lines,2025-09-01 to 2026-08-31,"96 customers across all customer groups; 100% material group CLASSIC; 22,100 free cases","Nobody in sales knows this rule exists. Matches the warehouse reports of extra cases"
M-14,Signavio Process Intelligence (consultant-defined drill-down),Changes,Order lines priced at fallback because the negotiated price (PR00) had expired,318,order lines,2025-08-01 to 2026-08-31,"Northgate Grocers; 2 materials","Silent expiry on 31 Jul 2025; price rose from negotiated to list minus 8% with no warning to anyone"
M-15,Signavio Process Insights discovery edition (standard indicator),Throughput,Sales documents created,15640,documents,2025-09-01 to 2026-08-31,"Sales org 1000","Same population as M-01"
M-16,Signavio Process Insights discovery edition (standard indicator),Customizing configuration,Sales document type usage (cross-sales area),"OR 14,905; ZMKT 612; RE 123; ZSMP 0","documents by type",2025-09-01 to 2026-08-31,"Sales org 1000","Standard order OR dominates; ZMKT is the marketplace type; RE returns; ZSMP (samples) unused in 12 months although sales says samples go through a separate type"
M-17,Signavio Process Insights discovery edition (standard indicator),Exceptions,Missing fields in incomplete sales document items,388,items,2025-09-01 to 2026-08-31,"Sales org 1000","Most missing field: requested delivery date on distributor portal orders"
M-18,Signavio Process Insights discovery edition (standard indicator),Backlog,Rejected sales document items,1204,items,2025-09-01 to 2026-08-31,"Sales org 1000","Lines rejected after creation, mostly out-of-stock substitutions"
