section,item,relevance,value,plain
Simplification items,S4TWL - Pricing data model simplification (KONV replaced by PRCD_ELEMENTS),Relevant,Mandatory before conversion,"Technical: the table that stores order prices changes shape in S/4HANA. Custom code that reads it must be adapted."
Simplification items,S4TWL - SD Rebate processing replaced by Settlement Management,Not relevant,No active rebate agreements found,"Halo does not use rebates in ECC"
Simplification items,S4TWL - Credit Management (FI-AR-CR) replaced by SAP Credit Management (FIN-FSCM-CR),Relevant,Mandatory,"Belongs to step 3 Check customer credit, not this node"
Custom code,User exit MV45AFZZ / include ZZ_DISCOUNT_BLOCK,Relevant,1 object; 3 findings (KONV field access),"The code that sets approval block Z1 when RA01 > 15%. Must be adapted for the new pricing table. Last changed 2019-03-04 by MARCOF"
Custom code,Workflow ZDISC_APPR,Relevant,1 object; 0 findings,"Discount approval workflow to the sales manager's worklist"
Transaction usage,VA01 Create sales order,Used,"4,470 executions / 12 months; 9 users","Manual order entry by the order desk (the rest arrive automatically)"
Transaction usage,VA02 Change sales order,Used,"6,120 executions / 12 months; 14 users","Order desk and reps editing orders; includes manual discounts"
Transaction usage,VK11/VK12 Create/change condition records,Used,"1,180 executions / 12 months; 3 users","Order desk keying negotiated prices and marketing keying promotions"
Transaction usage,V.14 Sales orders blocked for delivery,Used,"96 executions / 12 months; 1 user","Occasional check of blocked orders"
Transaction usage,SBWP Business workplace (approval worklist),Used,"318 executions / 12 months; 2 users","Sales manager and her deputy releasing discount approvals"
Transaction usage,VK13 Display condition record,Used,"52 executions / 12 months; 2 users","Almost nobody looks up what prices are on file; they use spreadsheets instead"
Business process analytics,Open sales order items older than 90 days,Backlog,214 items,"Old backlog to close before conversion"
Add-ons,Third-party add-ons in SD,None,,""
Data volume,Table PRCD/KONV (pricing conditions),Large,"41 GB; 6.2M condition lines","Consider archiving before conversion"
