from,relation,to,since,note
P-01,in charge of,PR-01,2021,Retail sales owns the Classic and Citrus ranges
P-01,in charge of,PR-02,2021,
P-01,in charge of,PR-03,2021,
P-03,in charge of,PR-04,2023,Order desk owns the Zero range listing
P-04,set,D-01,2011,Configured at go-live
P-04,set,D-02,2011,Configured at go-live
P-02,set,D-03,2019,Tightened after margin loss on two listings
P-03,set,D-04,2026,Keyed from the promotion sheet sent by marketing
P-04,set,D-05,2011,Configured at go-live
D-01,applies to,PR-01,2011,
D-01,applies to,PR-02,2011,
D-01,applies to,PR-03,2011,
D-01,applies to,PR-04,2011,
D-04,applies to,PR-03,2026,
D-05,applies to,PR-01,2011,
D-05,applies to,PR-02,2011,
D-05,applies to,PR-03,2011,
D-05,applies to,PR-04,2011,
